btc_total_bitcoins_lag_1,btc_total_bitcoins_lag_2,btc_total_bitcoins_lag_3,btc_blocks_size_lag_1,btc_blocks_size_lag_2,btc_blocks_size_lag_3,btc_avg_block_size_lag_1,btc_avg_block_size_lag_2,btc_avg_block_size_lag_3,btc_n_orphaned_blocks_lag_1,btc_n_orphaned_blocks_lag_2,btc_n_orphaned_blocks_lag_3,btc_n_transactions_per_block_lag_1,btc_n_transactions_per_block_lag_2,btc_n_transactions_per_block_lag_3,btc_median_confirmation_time_lag_1,btc_median_confirmation_time_lag_2,btc_median_confirmation_time_lag_3,btc_hash_rate_lag_1,btc_hash_rate_lag_2,btc_hash_rate_lag_3,btc_difficulty_lag_1,btc_difficulty_lag_2,btc_difficulty_lag_3,btc_cost_per_transaction_percent_lag_1,btc_cost_per_transaction_percent_lag_2,btc_cost_per_transaction_percent_lag_3,btc_n_unique_addresses_lag_1,btc_n_unique_addresses_lag_2,btc_n_unique_addresses_lag_3,btc_n_transactions_lag_1,btc_n_transactions_lag_2,btc_n_transactions_lag_3,btc_n_transactions_total_lag_1,btc_n_transactions_total_lag_2,btc_n_transactions_total_lag_3,btc_n_transactions_excluding_popular_lag_1,btc_n_transactions_excluding_popular_lag_2,btc_n_transactions_excluding_popular_lag_3,btc_n_transactions_excluding_chains_longer_than_100_lag_1,btc_n_transactions_excluding_chains_longer_than_100_lag_2,btc_n_transactions_excluding_chains_longer_than_100_lag_3,btc_estimated_transaction_volume_lag_1,btc_estimated_transaction_volume_lag_2,btc_estimated_transaction_volume_lag_3,log_btc_market_price_lag_1,log_btc_market_price_lag_2,log_btc_market_price_lag_3,log_btc_market_cap_lag_1,log_btc_market_cap_lag_2,log_btc_market_cap_lag_3,log_btc_trade_volume_lag_1,log_btc_trade_volume_lag_2,log_btc_trade_volume_lag_3,log_btc_miners_revenue_lag_1,log_btc_miners_revenue_lag_2,log_btc_miners_revenue_lag_3,log_btc_transaction_fees_lag_1,log_btc_transaction_fees_lag_2,log_btc_transaction_fees_lag_3,log_btc_cost_per_transaction_lag_1,log_btc_cost_per_transaction_lag_2,log_btc_cost_per_transaction_lag_3,log_btc_estimated_transaction_volume_usd_lag_1,log_btc_estimated_transaction_volume_usd_lag_2,log_btc_estimated_transaction_volume_usd_lag_3,log_btc_output_volume_lag_1,log_btc_output_volume_lag_2,log_btc_output_volume_lag_3
7875700.0,7868500.0,7862050.0,597.0,595.0,593.0,0.0156908680556,0.0195336821705,0.0191634552239,0.0,0.0,0.0,34.0,31.0,33.0,17.05,15.6166666667,10.6333333333,8.26808645,7.40682744479,7.26544925298,1155038.33396,1155038.33396,1090715.68005,5.64114804456,3.97301048219,2.16792401343,9943.0,9008.0,8547.0,5125.0,5515.0,4924.0,2027905.0,2022780.0,2017265.0,3602.0,3910.0,3475.0,4477.0,5001.0,4663.0,127687.0,162446.0,323120.0,1.4532518292447716,1.4586150226995167,1.468420282012588,17.066221036077824,17.072300512007317,17.084238118896927,12.34657432119171,11.585003479439006,11.774727477557597,10.069223618994778,9.966424792306725,10.061102304816089,1.536047808705019,1.753890237745201,5.724245455047745,1.7237845811629713,1.581422650868871,1.7500578149865815,12.944267280766393,13.192025624809224,13.892460487927563,12.935178065586872,12.937690089613522,13.568187087251856
7881850.0,7875700.0,7868500.0,599.0,597.0,595.0,0.017576300813,0.0156908680556,0.0195336821705,0.0,0.0,0.0,49.0,34.0,31.0,15.9333333333,17.05,15.6166666667,7.06232384271,8.26808645,7.40682744479,1155038.33396,1155038.33396,1155038.33396,4.34230244692,5.64114804456,3.97301048219,8700.0,9943.0,9008.0,5476.0,5125.0,5515.0,2033381.0,2027905.0,2022780.0,3972.0,3602.0,3910.0,5065.0,4477.0,5001.0,141814.0,127687.0,162446.0,1.433488013446994,1.4532518292447716,1.4586150226995167,17.04112811043119,17.066221036077824,17.072300512007317,11.48842916765875,12.34657432119171,11.585003479439006,9.8866130455085,10.069223618994778,9.966424792306725,2.240292093584375,1.536047808705019,1.753890237745201,1.524098875595479,1.7237845811629713,1.581422650868871,13.023329473135659,12.944267280766393,13.192025624809224,13.040988933558856,12.935178065586872,12.937690089613522
7888050.0,7881850.0,7875700.0,601.0,599.0,597.0,0.0189291451613,0.017576300813,0.0156908680556,0.0,0.0,0.0,36.0,49.0,34.0,12.0166666667,15.9333333333,17.05,7.11974110972,7.06232384271,8.26808645,1155038.33396,1155038.33396,1155038.33396,3.84218983149,4.34230244692,5.64114804456,8365.0,8700.0,9943.0,5319.0,5476.0,5125.0,2038700.0,2033381.0,2027905.0,3874.0,3972.0,3602.0,5219.0,5065.0,4477.0,161418.0,141814.0,127687.0,1.4422019930581866,1.433488013446994,1.4532518292447716,17.053341690470408,17.04112811043119,17.066221036077824,11.496328612004167,11.48842916765875,12.34657432119171,9.90515915463054,9.8866130455085,10.069223618994778,1.3444332852749015,2.240292093584375,1.536047808705019,1.5615510063064713,1.524098875595479,1.7237845811629713,13.164238257446039,13.023329473135659,12.944267280766393,12.982261013209937,13.040988933558856,12.935178065586872
7895350.0,7888050.0,7881850.0,603.0,601.0,599.0,0.0140854178082,0.0189291451613,0.017576300813,0.0,0.0,0.0,42.0,36.0,49.0,13.1833333333,12.0166666667,15.9333333333,8.38292098403,7.11974110972,7.06232384271,1155038.33396,1155038.33396,1155038.33396,5.49919159358,3.84218983149,4.34230244692,7780.0,8365.0,8700.0,4819.0,5319.0,5476.0,2043519.0,2038700.0,2033381.0,3386.0,3874.0,3972.0,4683.0,5219.0,5065.0,132783.0,161418.0,141814.0,1.4422019930581866,1.4422019930581866,1.433488013446994,17.05426671299206,17.053341690470408,17.04112811043119,10.898475410271448,11.496328612004167,11.48842916765875,10.068428097554788,9.90515915463054,9.8866130455085,1.3163283484274508,1.3444332852749015,2.240292093584375,1.7739797374324238,1.5615510063064713,1.524098875595479,12.968958086372472,13.164238257446039,13.023329473135659,12.96614632897056,12.982261013209937,13.040988933558856
7902700.0,7895350.0,7888050.0,605.0,603.0,601.0,0.0136345238095,0.0140854178082,0.0189291451613,0.0,0.0,0.0,37.0,42.0,36.0,9.23333333333,13.1833333333,12.0166666667,8.44033825104,8.38292098403,7.11974110972,1155038.33396,1155038.33396,1155038.33396,9.11522028672,5.49919159358,3.84218983149,7873.0,7780.0,8365.0,4615.0,4819.0,5319.0,2048134.0,2043519.0,2038700.0,3297.0,3386.0,3874.0,4615.0,4683.0,5219.0,80667.0,132783.0,161418.0,1.4469189829363254,1.4422019930581866,1.4422019930581866,17.06137006647508,17.05426671299206,17.053341690470408,10.501941782766439,10.898475410271448,11.496328612004167,10.081560513481437,10.068428097554788,9.90515915463054,1.5880421998912047,1.3163283484274508,1.3444332852749015,1.821021951532348,1.7739797374324238,1.5615510063064713,12.4767484272897,12.968958086372472,13.164238257446039,12.647011941964953,12.96614632897056,12.982261013209937
7910250.0,7902700.0,7895350.0,607.0,605.0,603.0,0.0162191854305,0.0136345238095,0.0140854178082,0.0,0.0,0.0,35.0,37.0,42.0,16.0333333333,9.23333333333,13.1833333333,8.6700073191,8.44033825104,8.38292098403,1155038.33396,1155038.33396,1155038.33396,5.69257192816,9.11522028672,5.49919159358,8828.0,7873.0,7780.0,5200.0,4615.0,4819.0,2053334.0,2048134.0,2043519.0,3845.0,3297.0,3386.0,5200.0,4615.0,4683.0,132682.0,80667.0,132783.0,1.5476391015273894,1.4469189829363254,1.4422019930581866,17.192100091185143,17.06137006647508,17.05426671299206,13.08692828680351,10.501941782766439,10.898475410271448,10.238166005574818,10.081560513481437,10.068428097554788,1.5287954767930254,1.5880421998912047,1.3163283484274508,1.852348466880545,1.821021951532348,1.7739797374324238,13.104140341895906,12.4767484272897,12.968958086372472,13.031496584274905,12.647011941964953,12.96614632897056
7917000.0,7910250.0,7902700.0,610.0,607.0,605.0,0.0254560148148,0.0162191854305,0.0136345238095,0.0,0.0,0.0,30.0,35.0,37.0,14.9,16.0333333333,9.23333333333,7.75133104688,8.6700073191,8.44033825104,1155038.33396,1155038.33396,1155038.33396,3.42455412447,5.69257192816,9.11522028672,10966.0,8828.0,7873.0,6684.0,5200.0,4615.0,2060018.0,2053334.0,2048134.0,5116.0,3845.0,3297.0,6200.0,5200.0,4615.0,197252.0,132682.0,80667.0,1.7047480922384253,1.5476391015273894,1.4469189829363254,17.388600328998837,17.192100091185143,17.06137006647508,13.520266148586876,13.08692828680351,10.501941782766439,10.322148544071688,10.238166005574818,10.081560513481437,1.9223497132037712,1.5287954767930254,1.5880421998912047,1.7134015822202229,1.852348466880545,1.821021951532348,13.696315901439805,13.104140341895906,12.4767484272897,13.097591249032911,13.031496584274905,12.647011941964953
7924750.0,7917000.0,7910250.0,612.0,610.0,607.0,0.0165731225806,0.0254560148148,0.0162191854305,0.0,0.0,0.0,31.0,30.0,35.0,12.925,14.9,16.0333333333,8.89967638715,7.75133104688,8.6700073191,1155038.33396,1155038.33396,1155038.33396,4.71634485826,3.42455412447,5.69257192816,9328.0,10966.0,8828.0,5667.0,6684.0,5200.0,2065685.0,2060018.0,2053334.0,4158.0,5116.0,3845.0,5147.0,6200.0,5200.0,164386.0,197252.0,132682.0,1.631199404215613,1.7047480922384253,1.5476391015273894,17.29892439069928,17.388600328998837,17.192100091185143,12.181037633452787,13.520266148586876,13.08692828680351,10.369289554796582,10.322148544071688,10.238166005574818,1.6079413651656527,1.9223497132037712,1.5287954767930254,1.890529495761581,1.7134015822202229,1.852348466880545,13.423396427593245,13.696315901439805,13.104140341895906,13.318921482188511,13.097591249032911,13.031496584274905
7931650.0,7924750.0,7917000.0,614.0,612.0,610.0,0.0181945144928,0.0165731225806,0.0254560148148,0.0,0.0,0.0,35.0,31.0,30.0,14.6,12.925,14.9,7.92358284792,8.89967638715,7.75133104688,1155038.33396,1155038.33396,1155038.33396,6.56963203378,4.71634485826,3.42455412447,9669.0,9328.0,10966.0,5818.0,5667.0,6684.0,2071503.0,2065685.0,2060018.0,4263.0,4158.0,5116.0,5514.0,5147.0,6200.0,105090.0,164386.0,197252.0,1.607834627859992,1.631199404215613,1.7047480922384253,17.270661527603846,17.29892439069928,17.388600328998837,12.294030142765191,12.181037633452787,13.520266148586876,10.224182369091137,10.369289554796582,10.322148544071688,1.6400860745057666,1.6079413651656527,1.9223497132037712,1.7469613807676512,1.890529495761581,1.7134015822202229,12.946861712192943,13.423396427593245,13.696315901439805,13.1183493706194,13.318921482188511,13.097591249032911
7939250.0,7931650.0,7924750.0,616.0,614.0,612.0,0.0163956381579,0.0181945144928,0.0165731225806,0.0,0.0,0.0,33.0,35.0,31.0,13.2333333333,14.6,12.925,8.72742458611,7.92358284792,8.89967638715,1155038.33396,1155038.33396,1155038.33396,7.89605361785,6.56963203378,4.71634485826,9685.0,9669.0,9328.0,5740.0,5818.0,5667.0,2077243.0,2071503.0,2065685.0,4255.0,4263.0,4158.0,5451.0,5514.0,5147.0,96289.0,105090.0,164386.0,1.599387576580599,1.607834627859992,1.631199404215613,17.2610449811243,17.270661527603846,17.29892439069928,11.318066311956702,12.294030142765191,12.181037633452787,10.310047061569078,10.224182369091137,10.369289554796582,1.4111819327532933,1.6400860745057666,1.6079413651656527,1.8297020609191572,1.7469613807676512,1.890529495761581,12.848823497729292,12.946861712192943,13.423396427593245,12.590726415758455,13.1183493706194,13.318921482188511
